/Users/demo/Library/CloudStorage/Box-Box/Holmes_lab_kaley/git_repos/hyperopt_repo/hyperopt/__init__.py
--- Dataset: v2_day ---
0:	learn: 2.1908860	total: 1.77ms	remaining: 479ms
188:	learn: 1.4242547	total: 2.1s	remaining: 921ms
189:	learn: 1.4220947	total: 2.1s	remaining: 905ms
190:	learn: 1.4194421	total: 2.12s	remaining: 898ms
191:	learn: 1.4172099	total: 2.12s	remaining: 883ms
192:	learn: 1.4145642	total: 2.12s	remaining: 868ms
193:	learn: 1.4130619	total: 2.12s	remaining: 853ms
194:	learn: 1.4110898	total: 2.12s	remaining: 838ms
195:	learn: 1.4086649	total: 2.12s	remaining: 824ms
196:	learn: 1.4063276	total: 2.13s	remaining: 809ms
197:	learn: 1.4044692	total: 2.13s	remaining: 795ms
198:	learn: 1.4021954	total: 2.13s	remaining: 781ms
199:	learn: 1.3995152	total: 2.13s	remaining: 767ms
200:	learn: 1.3971093	total: 2.13s	remaining: 753ms
201:	learn: 1.3952048	total: 2.13s	remaining: 739ms
202:	learn: 1.3921818	total: 2.13s	remaining: 726ms
203:	learn: 1.3903102	total: 2.13s	remaining: 712ms
204:	learn: 1.3876413	total: 2.14s	remaining: 698ms
205:	learn: 1.3852523	total: 2.14s	remaining: 685ms
206:	learn: 1.3835091	total: 2.15s	remaining: 674ms
207:	learn: 1.3811400	total: 2.15s	remaining: 661ms
208:	learn: 1.3781102	total: 2.15s	remaining: 648ms
209:	learn: 1.3757961	total: 2.15s	remaining: 635ms
210:	learn: 1.3729861	total: 2.15s	remaining: 622ms
211:	learn: 1.3710580	total: 2.15s	remaining: 609ms
212:	learn: 1.3686441	total: 2.15s	remaining: 597ms
213:	learn: 1.3673841	total: 2.18s	remaining: 590ms
214:	learn: 1.3650725	total: 2.18s	remaining: 578ms
215:	learn: 1.3625373	total: 2.18s	remaining: 565ms
216:	learn: 1.3597516	total: 2.18s	remaining: 553ms
217:	learn: 1.3574988	total: 2.18s	remaining: 541ms
218:	learn: 1.3551623	total: 2.18s	remaining: 529ms
219:	learn: 1.3528719	total: 2.19s	remaining: 517ms
220:	learn: 1.3511349	total: 2.3s	remaining: 531ms
221:	learn: 1.3491929	total: 2.3s	remaining: 519ms
222:	learn: 1.3466735	total: 2.31s	remaining: 508ms
223:	learn: 1.3445099	total: 2.31s	remaining: 496ms
224:	learn: 1.3416627	total: 2.31s	remaining: 484ms
225:	learn: 1.3383241	total: 2.32s	remaining: 472ms
226:	learn: 1.3356837	total: 2.32s	remaining: 460ms
